2,VNW,
3,VNW,persoon
3,VNW,pers
3,VNW,prenom
4,VNW,"1,ev"
5,VNW,"1,mv"
6,VNW,2
6,VNW,2v
7,VNW,"3,ev"
7,VNW,"3m,ev"
9,VNW,"3p,ev"
7,VNW,3v
8,VNW,"3p,mv"
8,VNW,"3,mv"
9,VNW,onbep
10,LID,
464,TSW,
17,VZ,
18,VG,
20,,grad
21,,rang
7,VNW,refl
21,TW,
